Chemical.Name,DTXSID,CAS,Set,Fup,Mol_Structure,Opera_LogP,padel_CrippenLogP,padel_nBase,Opera_LogWS,padel_XLogP,Opera_LogBCF,padel_AATS1v,padel_AATS0i,padel_ETA_EtaP_F,padel_ZMIC2,padel_maxHBa,padel_minsssN,padel_AATS1i,padel_ETA_dEpsilon_B,padel_GATS1i,padel_ZMIC1,padel_SsssN,padel_nAromBond,padel_AATSC0p,padel_minHBd,padel_LipoaffinityIndex,padel_AATS3v,padel_AATS2i,padel_C2SP2,padel_AATS4v,padel_Kier2,padel_AATS6m,Opera_LogKM,padel_AATS6v,padel_minssCH2,Fup.RF.pred,AD_out
"1,2,4-trichlorobenzene",DTXSID0021965,120-82-1,ToxCast,0.0000,ClC1=CC(Cl)=C(Cl)C=C1,0.729828586,0.336200072,-0.490563539,-0.384269951,-0.005355557,2.060037001,3.124653375,-1.447389234,-0.667857069,0.689555346,-2.752905935,-0.712382893,-1.763602275,2.614667791,-1.284691501,-0.01724776,-0.593899024,-0.35298473,0.210831682,-1.209042569,-0.466803023,2.032404208,-1.61137883,-0.072993049,1.377088574,-1.341237527,-1.048401324,2.462761493,-3.252034614,-0.549463598,0.002675315,0
"1,2-benzisothiazolin-3-one",DTXSID5032523,2634-33-5,ToxCast,0.0000,O=C1NSC2=C1C=CC=C2,-0.973651945,-1.002623824,-0.490563539,0.289463823,-0.464794266,-0.719507042,1.639895,-1.122587619,-0.838198794,-0.946409701,0.121888326,-0.712382893,-0.886082664,1.22234362,-1.109705657,-1.037285917,-0.593899024,-0.35298473,0.880406013,0.601744896,-0.993545661,0.706235849,-1.549876233,-0.299792879,0.01840088,-1.383749848,-0.944356503,-1.209996905,-2.237342384,-0.549463598,0.072324097,0
"1,2-dimethyl-3-nitrobenzene",DTXSID7025132,83-41-0,ToxCast,0.0000,CC1=CC=CC(=C1C)[N+]([O-])=O,0.124324162,-0.388634271,-0.490563539,0.594672743,0.090117288,-0.382851972,-0.240754126,-0.101814823,-0.149533865,-1.085683057,-0.05980994,-0.712382893,0.098342956,0.433143656,-0.888949704,-1.110526275,-0.593899024,-0.35298473,-0.401132478,-1.209042569,-0.630207606,0.388685002,-0.302381162,-0.526592709,-0.552482718,-1.111205106,-0.882513756,-0.848895879,-1.981324319,-0.549463598,0.026239561,0
"1,2-dinitrobenzene",DTXSID4024066,528-29-0,ToxCast,0.0695,[O-][N+](=O)C1=C(C=CC=C1)[N+]([O-])=O,-0.483380202,-0.552422347,-0.490563539,0.167579809,-0.205653688,-0.501456198,0.635072745,0.313205033,0.776215106,-0.152376162,-0.10384502,-0.712382893,1.713730452,2.370459581,-1.404509547,-0.549149119,-0.593899024,-0.35298473,-0.661766816,-1.209042569,-1.246887278,0.591845286,-0.491650074,-0.072993049,0.255257894,-0.928580474,-0.771196812,-0.976955779,-1.520491801,-0.549463598,0.100484345,0
"1,2-diphenylhydrazine",DTXSID7020710,122-66-7,ToxCast,0.0000,N(NC1=CC=CC=C1)C1=CC=CC=C1,0.194908209,0.37381102,-0.490563539,0.157123484,1.00237006,0.297520061,0.107424162,-0.447516135,-0.137220988,0.493624532,-2.162484905,-0.712382893,0.108885948,0.553820402,-1.33818643,-0.012420261,-0.593899024,0.66127965,-0.32827836,0.612687889,0.203345711,-0.789370755,-0.714650378,1.287805932,-0.834704108,-0.540491758,-0.163994529,-0.851186195,0.839847658,-0.549463598,0.011291447,0
"1,3-diisopropylbenzene",DTXSID8026640,99-62-7,ToxCast,0.0124,CC(C)C1=CC(=CC=C1)C(C)C,0.811239036,0.472837134,-0.490563539,-0.900366959,1.466874675,1.95187281,-1.005225308,-0.263865882,-1.456533547,-0.4480138,-3.062418326,-0.712382893,-0.891809603,-0.77128812,-0.228500464,-0.673407057,-0.593899024,-0.35298473,-0.258129824,-1.209042569,0.55482325,-0.908210473,-0.323371888,-0.526592709,-1.06234078,-0.928580474,-0.718198631,1.316056239,-0.837759525,-0.549463598,0.017570681,0
"1,3-diphenylguanidine",DTXSID3025178,102-06-7,ToxCast,0.7844,N=C(NC1=CC=CC=C1)NC1=CC=CC=C1,0.188992152,0.668100362,3.25321084,0.600112719,0.883905795,0.048816807,0.103695757,-0.273680683,0.273914951,0.546880373,-0.82299224,-0.712382893,0.335774405,0.527089854,-0.62607488,0.090412843,-0.593899024,0.66127965,-0.379744654,0.599203139,0.113395128,-0.558932784,-0.641541277,1.287805932,-0.488836594,-0.307547534,-0.220337032,-1.10255189,0.243611233,-0.549463598,0.42949089,0
"1,4-bis(n-isopropylamino)anthraquinone",DTXSID2041250,14233-37-5,ToxCast,0.0073,CC(C)NC1=CC=C(NC(C)C)C2=C1C(=O)C1=CC=CC=C1C2=O,0.368891549,0.82452739,-0.490563539,-0.513124922,0.405372517,-0.044377052,0.012806133,-0.364922774,0.616270016,0.531432862,0.71960454,-0.712382893,-0.436333065,-0.070584436,-0.429385666,0.356060695,-0.593899024,0.66127965,-0.316328315,-0.143527098,0.522402429,0.114329045,-0.422095845,0.834206272,0.348371133,-0.034354291,-0.162671006,-0.426627154,0.488166319,-0.549463598,0.015162249,0
"1,4-dichlorobenzene",DTXSID1020431,106-46-7,ToxCast,0.0229,ClC1=CC=C(Cl)C=C1,0.455080643,0.024690456,-0.490563539,0.140837864,-0.042765325,1.33579599,2.109200349,-1.282139146,-0.804684936,-0.003359577,-2.765789677,-0.712382893,-1.646549601,1.831955824,-1.271105303,-0.614643187,-0.593899024,-0.35298473,0.329826242,-1.209042569,-0.503595457,0.542409041,-1.51371318,-0.072993049,-0.306642121,-1.394232338,-1.048401324,1.53767496,-3.252034614,-0.549463598,0.020775864,0
"1,5,9-cyclododecatriene",DTXSID8027581,4904-61-4,ToxCast,0.0414,C1CC=CCCC=CCCC=C1,1.548756648,0.403407771,-0.490563539,-1.115215875,0.850392878,2.888836435,-1.005225308,-0.263865882,-2.034423353,0.633718693,-3.062418326,-0.712382893,-0.891809603,-0.77128812,-0.228500464,-0.157133036,-0.593899024,-1.36724911,-0.258129824,-1.209042569,0.470295311,-1.735437166,-0.519207655,-0.072993049,-0.8937111,-0.05276479,-0.73042619,3.040248896,-1.022242665,2.039069223,0.034135574,0
"1,5-diaminonaphthalene",DTXSID3020916,2243-62-1,ToxCast,0.6333,NC1=CC=CC2=C(N)C=CC=C12,-0.758307148,0.081466826,-0.490563539,0.517735032,-0.518181122,-0.589841251,0.302682524,-0.35585744,-0.003002472,-0.522427097,-1.393397807,-0.712382893,0.412941276,0.60105302,-1.792915075,-0.580164257,-0.593899024,0.492235587,-0.355408711,0.786570226,-0.352810761,0.400361662,-1.135934716,0.380606611,-0.203130692,-1.164911691,-0.920302177,-0.582422568,-1.780065951,-0.549463598,0.469119342,0
10-hydroxycarbazepine,,,Drug,0.3800,OC1Cc2c(N(c3c1cccc3)C(=O)N)cccc2,-0.32570398,-0.472285139,-0.490563539,0.290746085,-0.071602021,0.411745132,0.420040081,-0.446416281,0.512385211,-0.204163366,0.352777572,0.928205552,-0.115759731,0.619738452,-0.761635542,-0.157507219,0.355939975,0.66127965,-0.35318257,0.278033236,-0.179000428,0.590366687,-0.801886666,0.834206272,0.813966495,-0.539909397,-0.425565016,0.017809135,-0.487285969,0.455523582,0.33270781,0
17alpha-estradiol,DTXSID8022377,57-91-0,ToxCast,0.0000,CC12CCC3C(CCC4=C3C=CC(O)=C4)C1CCC2O,0.694623383,0.494953649,-0.490563539,-0.894876531,0.603332538,0.297110517,-0.266196173,-0.323520495,-1.501259462,-0.846662243,-0.061849496,-0.712382893,-0.863859847,-0.788675952,-0.822667228,-0.425190026,-0.593899024,-0.35298473,-0.277743264,-0.179228574,0.550547595,-0.543932732,-0.936385755,-0.526592709,-0.778594226,-0.809833517,-0.607135178,0.754236307,-0.900589156,1.57714064,0.000916803,0
17alpha-hydroxyprogesterone,DTXSID6040747,68-96-2,ToxCast,0.0828,CC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C,0.278615226,0.50386414,-0.490563539,-0.856965895,-0.024450126,-0.189616251,-0.450064578,-0.183938603,-1.634336386,-0.577907825,0.472161553,-0.712382893,-0.887888498,-1.2591855,-0.393969927,-0.084419854,-0.593899024,-1.36724911,-0.31500244,-0.803650271,0.352503839,-0.300243817,-0.725647614,-0.753392539,-0.602148177,-0.613998602,-0.62915002,2.406059197,-1.010323496,0.799006881,0.086112816,0
17beta-trenbolone,DTXSID0034192,10161-33-8,ToxCast,0.0999,CC12C=CC3=C4CCC(=O)C=C4CCC3C1CCC2O,0.283202096,0.190771708,-0.490563539,-0.318625429,-0.418032057,-0.209641249,-0.015207844,-0.457365583,-1.349183198,-0.886786803,0.294553953,-0.712382893,-1.096066933,-0.72716974,-0.868458825,-0.591351854,-0.593899024,-1.36724911,-0.256390257,-0.068484273,-0.089251455,-0.358645798,-0.968386351,-0.526592709,-0.492443684,-0.809833517,-0.556262237,1.312356611,-0.706796595,0.894277492,0.104668024,0
1-benzylquinolinium chloride,DTXSID8044593,15619-48-4,ToxCast,0.5986,C(C1=CC=CC=C1)[N+]1=C2C=CC=CC2=CC=C1,-1.444546173,0.594356396,-0.490563539,-1.535154669,1.155516296,1.971762622,0.572143789,-0.962094907,0.21911857,-0.11677045,-3.062418326,-0.712382893,-1.144157596,0.588596066,-0.636382585,0.14318683,-0.593899024,1.506499966,-0.248815038,-1.209042569,0.985231509,0.046467406,-1.023888965,1.287805932,-0.020647746,-0.545150642,-0.292059744,1.117077628,0.410909849,1.418566059,0.395420858,0
1-dodecyl-2-pyrrolidinone,DTXSID4042206,2687-96-9,ToxCast,0.0125,CCCCCCCCCCCCN1CCCC1=O,0.993942655,0.868631698,-0.490563539,-0.37261008,1.026530535,2.115518654,-1.665750569,0.306291412,-2.50210883,0.612587948,0.23295778,1.588352425,-0.168350762,-1.463427647,1.287516844,0.323690108,0.738140184,-1.36724911,-0.444131377,-1.209042569,1.052800343,-2.24544543,0.283625339,-1.433792029,-1.541670471,0.796608086,-0.650458218,0.570377259,-0.927529102,1.141413697,0.016120515,0
1-hydroxypyrene,DTXSID1038298,5315-79-7,ToxCast,0.0000,OC1=C2C=CC3=CC=CC4=CC=C(C=C1)C2=C34,0.728888741,0.819335563,-0.490563539,-0.421263194,1.172662439,1.691795867,1.704602736,-1.586127209,0.450576199,0.544284295,-0.185221575,-0.712382893,-1.893830382,1.24284569,-2.062809886,0.45917581,-0.593899024,1.844588093,-0.288406283,0.774336006,0.627627719,1.55534251,-2.092987648,0.834206272,1.239299813,-1.006380205,-0.446625193,-0.567186608,-0.36219296,-0.549463598,0.002198577,0
1-naphthol,DTXSID6021793,90-15-3,ToxCast,0.0682,OC1=CC=CC2=CC=CC=C12,0.136122673,-0.012214899,-0.490563539,0.650663857,0.238197618,0.898767945,0.892477548,-1.12930848,-0.203840992,-0.674446982,-0.351502153,-0.712382893,-1.353571521,0.970090293,-1.741137333,-0.680692723,-0.593899024,0.492235587,-0.236484606,1.172171694,-0.277133746,0.306116902,-1.701977367,0.380606611,-0.151836677,-1.225447869,-0.944297098,-0.805952132,-1.888193722,-0.549463598,0.044832257,0
1-octanol,DTXSID7021940,111-87-5,Drug,0.6471,CCCCCCCCO,0.202754933,-0.287200561,-0.490563539,0.574772896,0.011400901,0.410725116,-2.212579059,0.451718973,-2.976929253,-0.8963099,-0.625863051,-0.712382893,0.034551065,-1.463427647,1.089277513,-0.983205835,-0.593899024,-1.36724911,-0.524557573,1.436012314,-0.266204444,-2.6628069,0.334150351,-1.433792029,-1.900147412,0.041868801,-0.738664024,-0.401271758,-1.334673411,0.236999606,0.462623179,0
"2-(2h-benzotriazol-2-yl)-4,6-bis(1-methyl-1-phenylethyl)phenol",DTXSID2028985,70321-86-7,ToxCast,0.0000,CC(C)(C1=CC=CC=C1)C1=CC(N2N=C3C=CC=CC3=N2)=C(O)C(=C1)C(C)(C)C1=CC=CC=C1,2.14097216,1.988469197,-0.490563539,-1.362441414,3.670543802,2.094323654,0.375816071,-0.63856063,1.33832649,2.013649672,0.300260245,-0.712382893,-0.764252498,0.409786867,-1.160797707,2.138702193,-0.593899024,3.535028726,-0.285994706,-0.466832796,2.609773696,0.612542476,-0.89776352,3.102204573,0.294374613,0.671011788,-0.05219607,1.166371751,0.708866751,-0.549463598,0.000210339,0
2-(4-hydroxybenzyl)phenol,DTXSID2044890,2467-03-0,ToxCast,0.0426,OC1=CC=C(CC2=C(O)C=CC=C2)C=C1,0.288239738,-0.033382679,-0.490563539,0.419822858,0.201177535,0.524505712,0.467470653,-0.819596191,0.07487036,-0.290651476,-0.291957961,-0.712382893,-0.956458474,0.764550546,-1.516061734,-0.166011835,-0.593899024,0.66127965,-0.247968304,0.976709496,-0.167665539,-0.05903112,-1.399251001,0.834206272,-0.502329717,-0.648644433,-0.13552806,-0.364937692,0.551090464,0.893216075,0.043829635,0
"2,2',4,4'-tetrahydroxybenzophenone",DTXSID5041306,131-55-5,ToxCast,0.0354,OC1=CC(O)=C(C=C1)C(=O)C1=CC=C(O)C=C1O,0.142472464,-0.587940355,-0.490563539,0.094152777,-0.654960585,-0.681512739,0.87046694,-0.694729856,1.002209405,0.37045862,0.416856822,-0.712382893,-0.440649962,1.604356887,-1.820127669,0.254838389,-0.593899024,0.66127965,-0.344499903,1.079369628,-1.055693035,0.793452609,-1.514076426,1.061006102,0.37667987,-0.490164302,0.314536798,-0.720488482,0.889299158,-0.549463598,0.032383902,0
"2,2,4-trimethyl-1,3-pentanediol diisobutyrate",DTXSID1027635,6846-50-0,ToxCast,0.0000,CC(C)C(OC(=O)C(C)C)C(C)(C)COC(=O)C(C)C,1.162248596,0.34701757,-0.490563539,-0.018184112,0.168054304,0.272050446,-1.656897179,0.29140417,-1.425099016,0.153242151,0.357103251,-0.712382893,-0.185200648,-1.463427647,1.281645374,0.079442424,-0.593899024,-1.36724911,-0.478517006,-1.209042569,0.21323898,-1.20722268,0.417779645,-1.433792029,-1.384600973,0.158340913,-0.531457232,-0.498191639,-0.772819716,-0.017749159,0.016796525,0
"2,2',6,6'-tetrachlorobisphenol a",DTXSID3021770,79-95-8,ToxCast,0.0060,CC(C)(C1=CC(Cl)=C(O)C(Cl)=C1)C1=CC(Cl)=C(O)C(Cl)=C1,2.19982471,1.541614517,-0.490563539,-0.834538428,0.702702233,1.499790025,1.51369098,-0.875551642,0.490287266,2.119148213,-0.15413207,-0.712382893,-1.049049567,1.194834512,-1.295912291,0.909610434,-0.593899024,0.66127965,0.33056245,0.554295283,0.3595875,1.706932207,-1.214372847,0.834206272,0.772061484,-0.417873627,0.584884328,0.388450346,1.01537027,-0.549463598,0.004541349,0
"2,2-bis(4-hydroxyphenyl)-1,1,1-trichloroethane (hpte)",DTXSID8022325,2971-36-0,ToxCast,0.0000,OC1=CC=C(C=C1)C(C1=CC=C(O)C=C1)C(Cl)(Cl)Cl,1.078409152,0.959309887,-0.490563539,-0.238172836,0.703091918,0.973725477,1.434282972,-0.916471725,0.092605796,1.443427863,-0.329914318,-0.712382893,-1.05254496,1.302535263,-1.426567226,0.758102213,-0.593899024,0.66127965,0.237658396,1.038875152,0.210372345,0.931624657,-1.409331076,0.834206272,1.170748941,-0.433644868,0.594266682,0.08919373,1.137323776,-0.549463598,0.005562613,0
"2,2'-bisphenol f",DTXSID4022446,2467-02-9,ToxCast,0.0410,OC1=C(CC2=C(O)C=CC=C2)C=CC=C1,0.423301958,-0.007299589,-0.490563539,0.420290147,0.201177535,0.523485982,0.467470653,-0.819596191,0.114459114,-0.058288358,-0.290786103,-0.712382893,-0.956458474,0.764550546,-1.516061734,-0.166011835,-0.593899024,0.66127965,-0.247968304,0.976709496,-0.203165668,0.004308369,-1.399251001,0.834206272,-0.348971088,-0.648644433,-0.001586815,-0.808156058,0.581173343,0.609320832,0.035945473,0
"2,2'-methylenebis(4-methyl-6-tert-butylphenol)",DTXSID4020870,119-47-1,ToxCast,0.0000,CC1=CC(CC2=CC(C)=CC(=C2O)C(C)(C)C)=C(O)C(=C1)C(C)(C)C,2.007231052,1.433267906,-0.490563539,-2.225514878,1.851883534,1.775257522,-0.667896088,-0.285782661,-0.227325156,1.033339338,0.067005634,-0.712382893,-0.743490228,-0.55017718,-0.506081937,0.577830296,-0.593899024,0.66127965,-0.277926781,-0.139290522,1.552012088,0.112991268,-0.444624891,-0.072993049,-0.793246855,-0.075365472,-0.500812881,0.477784643,-0.300945152,0.566483687,0.001082554,0
"2,2'-methylenebis(ethyl-6-tert-butylphenol)",DTXSID7038864,88-24-4,ToxCast,0.0051,CCC1=CC(CC2=C(O)C(=CC(CC)=C2)C(C)(C)C)=C(O)C(=C1)C(C)(C)C,2.608745812,1.942801143,-0.490563539,-2.108040801,2.295345155,2.371541206,-0.767240676,-0.240027223,-0.320894868,1.184313963,0.111183773,-0.712382893,-0.724855508,-0.650611374,-0.403664738,0.916700484,-0.593899024,0.66127965,-0.285574985,-0.270510569,1.878619403,-0.123235837,-0.411003745,-0.072993049,-0.648032274,0.248513887,-0.404503322,0.153923496,0.000189137,0.592661942,0.005612605,0
"2,3,6-trimethylphenol",DTXSID6022187,2416-94-6,ToxCast,0.0908,CC1=CC=C(C)C(O)=C1C,0.046474164,-0.495846212,-0.490563539,0.81834273,-0.197470301,-0.41849081,-0.659065843,-0.323520495,-0.921779583,-0.941462709,-0.346895076,-0.712382893,-0.648967275,-0.258476832,-0.67165745,-1.092424908,-0.593899024,-0.35298473,-0.277743264,1.02277199,-0.364836001,0.20302885,-0.330503128,-0.753392539,-1.057624702,-1.284487085,-0.978943077,-1.457093734,-2.114089886,-0.549463598,0.107269635,0
"2,3-dihydro-2,2-dimethyl-7-benzofuranol",DTXSID2027414,1563-38-8,ToxCast,0.3640,CC1(C)CC2=C(O1)C(O)=CC=C2,-0.204753662,-0.221842659,-0.490563539,0.909619509,-0.38763662,-0.457830915,-0.259548251,-0.373232665,-0.916479338,-1.115238577,-0.332015827,-0.712382893,-0.632964878,-0.093681706,-0.576207051,-1.112223043,-0.593899024,-0.35298473,-0.296875941,1.140733769,-0.430614227,-0.439244121,-0.564675633,-0.299792879,-1.204300162,-1.33395802,-0.888365117,-1.220099665,-1.50312798,1.31772028,0.289831865,0
"2,3-dinitrotoluene",DTXSID4027236,602-01-7,ToxCast,0.3365,CC1=CC=CC(=C1[N+]([O-])=O)[N+]([O-])=O,-0.391688653,-0.512980671,-0.490563539,0.165311708,-0.162008959,-0.205156972,0.26202362,0.294485744,0.774706575,-0.561563091,-0.039962012,-0.712382893,1.357133036,1.50885357,-1.140571834,-0.730076683,-0.593899024,-0.35298473,-0.602627432,-1.209042569,-1.128517657,0.820468474,-0.263542408,-0.299792879,0.188142257,-0.880202084,-0.831136705,-0.94976682,-1.768632388,-0.549463598,0.227729134,0
"2,4,4'-trihydroxybenzophenone",DTXSID8044836,1470-79-7,ToxCast,0.0196,OC1=CC=C(C=C1)C(=O)C1=CC=C(O)C=C1O,0.055884847,-0.447584629,-0.490563539,-0.15391655,-0.446868753,0.365545383,0.897656285,-0.814918795,0.777356698,0.088130726,0.39925886,-0.712382893,-0.726906372,1.454613915,-1.746314897,0.062892631,-0.593899024,0.66127965,-0.315487244,1.079369628,-0.784451621,0.607925368,-1.545894174,1.061006102,0.239674813,-0.545150642,0.167913992,-0.430021679,0.851337675,-0.549463598,0.025158124,0
"2,4,5-trichlorophenol",DTXSID4024359,95-95-4,ToxCast,0.0053,OC1=C(Cl)C=C(Cl)C(Cl)=C1,0.628932458,0.372523791,-0.490563539,0.676914215,-0.380622289,1.222571671,2.892692753,-1.139869186,-0.375895104,0.436738192,-0.369270745,-0.712382893,-1.045284466,2.83837393,-1.603784772,-0.087920125,-0.593899024,-0.35298473,0.337625073,1.148990816,-0.769688919,2.396292181,-1.535923677,-0.072993049,1.235046762,-1.284487085,-0.434181688,-0.588196016,-0.609524754,-0.549463598,0.012423639,0
"2,4,6-trichlorophenol",DTXSID5021386,88-06-2,ToxCast,0.0151,OC1=C(Cl)C=C(Cl)C=C1Cl,0.607994608,0.372523791,-0.490563539,0.617532156,-0.380622289,1.108420344,2.892692753,-1.139869186,-0.367292399,0.562422355,-0.334289108,-0.712382893,-1.045284466,2.83837393,-1.603784772,-0.087920125,-0.593899024,-0.35298473,0.337625073,1.056624521,-0.775143719,2.244110709,-1.535923677,-0.072993049,2.019379949,-1.284487085,-0.434181688,-0.541551383,-0.609524754,-0.549463598,0.014524642,0
"2,4,6-trimethylphenol",DTXSID7022049,527-60-6,ToxCast,0.1089,CC1=CC(C)=C(O)C(C)=C1,0.081295853,-0.495846212,-0.490563539,0.800264008,-0.197470301,-0.414493369,-0.659065843,-0.323520495,-0.92129033,-0.834045282,-0.363207341,-0.712382893,-0.648967275,-0.258476832,-0.67165745,-1.092424908,-0.593899024,-0.35298473,-0.277743264,1.071737259,-0.35998937,0.055856294,-0.330503128,-0.753392539,-1.147035394,-1.284487085,-1.0047239,-1.609148783,-2.460849311,-0.549463598,0.112302278,0
